x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.555878,-0.725266,1.169434,1.484111,36291.935339,2001-01-01 10:04:51.935 +0000
0.476944,-0.715408,1.057068,1.362599,36291.925543,2001-01-01 10:04:51.926 +0000
0.389984,-0.707962,0.814011,1.147132,36291.915747,2001-01-01 10:04:51.916 +0000
0.304672,-0.692459,0.562653,0.942816,36291.905920,2001-01-01 10:04:51.906 +0000
0.225342,-0.684906,0.333954,0.794607,36291.896124,2001-01-01 10:04:51.896 +0000
0.170334,-0.664398,0.244858,0.728281,36291.886328,2001-01-01 10:04:51.886 +0000
0.148788,-0.648483,0.292908,0.726955,36291.876532,2001-01-01 10:04:51.877 +0000
0.147919,-0.637436,0.357529,0.745675,36291.866705,2001-01-01 10:04:51.867 +0000
0.141891,-0.639084,0.394592,0.764372,36291.856909,2001-01-01 10:04:51.857 +0000
0.119949,-0.629578,0.367722,0.738901,36291.847113,2001-01-01 10:04:51.847 +0000
0.081192,-0.623596,0.244629,0.674765,36291.837317,2001-01-01 10:04:51.837 +0000
0.048752,-0.615784,0.053589,0.620031,36291.827490,2001-01-01 10:04:51.827 +0000
0.027161,-0.611816,-0.159195,0.632772,36291.817694,2001-01-01 10:04:51.818 +0000
0.014938,-0.592865,-0.355133,0.691254,36291.807898,2001-01-01 10:04:51.808 +0000
0.018539,-0.594147,-0.378494,0.704707,36291.798101,2001-01-01 10:04:51.798 +0000
0.040741,-0.563492,-0.282639,0.631718,36291.788275,2001-01-01 10:04:51.788 +0000
0.077911,-0.535995,-0.103104,0.551354,36291.778479,2001-01-01 10:04:51.778 +0000
0.125351,-0.517487,0.041595,0.534074,36291.768682,2001-01-01 10:04:51.769 +0000
0.159698,-0.514816,-0.010941,0.539128,36291.758856,2001-01-01 10:04:51.759 +0000
0.155914,-0.494995,-0.192184,0.553412,36291.749060,2001-01-01 10:04:51.749 +0000
0.083130,-0.471420,-0.398132,0.622621,36291.739264,2001-01-01 10:04:51.739 +0000
