x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.289551,-0.525345,2.766373,2.830662,36429.306822,2001-01-01 10:07:09.307 +0000
-0.206940,-0.315689,2.441010,2.470022,36429.296995,2001-01-01 10:07:09.297 +0000
-0.179596,-0.112305,1.933075,1.944645,36429.287199,2001-01-01 10:07:09.287 +0000
-0.241745,0.080795,1.393631,1.416748,36429.277403,2001-01-01 10:07:09.277 +0000
-0.374619,0.193375,1.121490,1.198113,36429.267607,2001-01-01 10:07:09.268 +0000
-0.580338,0.272232,1.039200,1.220999,36429.257811,2001-01-01 10:07:09.258 +0000
-0.791367,0.308609,0.793991,1.162722,36429.247984,2001-01-01 10:07:09.248 +0000
-0.892441,0.356003,0.385162,1.035151,36429.238188,2001-01-01 10:07:09.238 +0000
-0.826233,0.399811,-0.144806,0.929235,36429.228392,2001-01-01 10:07:09.228 +0000
-0.607941,0.407562,-0.735809,1.037841,36429.218596,2001-01-01 10:07:09.219 +0000
-0.408981,0.331772,-1.272354,1.377034,36429.208800,2001-01-01 10:07:09.209 +0000
-0.278732,0.269669,-1.655777,1.700591,36429.199003,2001-01-01 10:07:09.199 +0000
-0.119446,0.218796,-1.942703,1.958631,36429.189177,2001-01-01 10:07:09.189 +0000
-0.075699,0.157928,-2.196991,2.203960,36429.179381,2001-01-01 10:07:09.179 +0000
-0.228409,0.130646,-2.445267,2.459384,36429.169584,2001-01-01 10:07:09.170 +0000
-0.421722,0.082336,-2.744308,2.777743,36429.159788,2001-01-01 10:07:09.160 +0000
-0.466736,0.026535,-3.109314,3.144261,36429.149992,2001-01-01 10:07:09.150 +0000
-0.343979,-0.013123,-3.533432,3.550160,36429.140196,2001-01-01 10:07:09.140 +0000
-0.149811,-0.037094,-3.875732,3.878804,36429.130369,2001-01-01 10:07:09.130 +0000
-0.002716,-0.014694,-4.114304,4.114331,36429.120573,2001-01-01 10:07:09.121 +0000
0.064972,0.054443,-4.313278,4.314111,36429.110777,2001-01-01 10:07:09.111 +0000
0.103226,0.177979,-4.441498,4.446261,36429.100981,2001-01-01 10:07:09.101 +0000
0.066772,0.327225,-4.426071,4.438653,36429.091185,2001-01-01 10:07:09.091 +0000
-0.061234,0.501099,-4.208405,4.238575,36429.081389,2001-01-01 10:07:09.081 +0000
-0.194901,0.653412,-3.995453,4.053218,36429.071592,2001-01-01 10:07:09.072 +0000
-0.321350,0.794968,-3.801254,3.896764,36429.061766,2001-01-01 10:07:09.062 +0000
-0.478210,0.983994,-3.552750,3.717386,36429.051970,2001-01-01 10:07:09.052 +0000
-0.626434,1.201141,-3.201294,3.476125,36429.042174,2001-01-01 10:07:09.042 +0000
-0.730331,1.346405,-2.624130,3.038462,36429.032377,2001-01-01 10:07:09.032 +0000
-0.823959,1.429428,-1.941223,2.547650,36429.022581,2001-01-01 10:07:09.023 +0000
-0.859970,1.432983,-1.397003,2.178212,36429.012755,2001-01-01 10:07:09.013 +0000
-0.864517,1.375656,-1.004990,1.910451,36429.002958,2001-01-01 10:07:09.003 +0000
-0.889465,1.324524,-0.763397,1.768697,36428.993162,2001-01-01 10:07:08.993 +0000
-0.937057,1.298782,-0.544891,1.691691,36428.983366,2001-01-01 10:07:08.983 +0000
-0.978714,1.248459,-0.196762,1.598514,36428.973570,2001-01-01 10:07:08.974 +0000
-1.000031,1.182480,0.289932,1.575557,36428.963743,2001-01-01 10:07:08.964 +0000
-0.992340,1.074020,0.862549,1.697719,36428.953947,2001-01-01 10:07:08.954 +0000
-0.930740,0.911942,1.424850,1.930832,36428.944151,2001-01-01 10:07:08.944 +0000
-0.784790,0.749695,1.697205,2.014557,36428.934355,2001-01-01 10:07:08.934 +0000
-0.547867,0.565048,1.847412,2.008076,36428.924559,2001-01-01 10:07:08.925 +0000
-0.223862,0.349045,2.000839,2.043356,36428.914732,2001-01-01 10:07:08.915 +0000
0.067917,0.184723,2.381134,2.389254,36428.904936,2001-01-01 10:07:08.905 +0000
0.160614,0.012726,2.945114,2.949518,36428.895140,2001-01-01 10:07:08.895 +0000
0.082596,-0.157486,3.520905,3.525393,36428.885344,2001-01-01 10:07:08.885 +0000
-0.104706,-0.307220,3.963028,3.976297,36428.875548,2001-01-01 10:07:08.876 +0000
-0.243240,-0.424057,4.111923,4.140882,36428.865721,2001-01-01 10:07:08.866 +0000
-0.229568,-0.524796,3.940109,3.981529,36428.855925,2001-01-01 10:07:08.856 +0000
-0.123611,-0.585617,3.654099,3.702791,36428.846129,2001-01-01 10:07:08.846 +0000
-0.006195,-0.641205,3.516754,3.574737,36428.836332,2001-01-01 10:07:08.836 +0000
0.051086,-0.667694,3.628220,3.689499,36428.826536,2001-01-01 10:07:08.827 +0000
0.054642,-0.658768,3.984344,4.038807,36428.816710,2001-01-01 10:07:08.817 +0000
0.045334,-0.638336,4.301392,4.348735,36428.806914,2001-01-01 10:07:08.807 +0000
0.015121,-0.485428,4.366745,4.393669,36428.797117,2001-01-01 10:07:08.797 +0000
-0.072174,-0.277359,4.050949,4.061074,36428.787321,2001-01-01 10:07:08.787 +0000
-0.254517,-0.048141,3.536072,3.545546,36428.777525,2001-01-01 10:07:08.778 +0000
-0.544846,0.196915,2.891159,2.948632,36428.767729,2001-01-01 10:07:08.768 +0000
-0.797226,0.350082,2.248810,2.411488,36428.757902,2001-01-01 10:07:08.758 +0000
-0.984161,0.456787,1.701553,2.018047,36428.748106,2001-01-01 10:07:08.748 +0000
-1.095276,0.509857,1.251251,1.739314,36428.738310,2001-01-01 10:07:08.738 +0000
-1.131729,0.523102,0.984894,1.588856,36428.728514,2001-01-01 10:07:08.729 +0000
-1.134857,0.550278,0.760544,1.472798,36428.718718,2001-01-01 10:07:08.719 +0000
-1.033493,0.581482,0.440933,1.265168,36428.708891,2001-01-01 10:07:08.709 +0000
-0.924225,0.594543,0.150787,1.109239,36428.699095,2001-01-01 10:07:08.699 +0000
-0.833054,0.630508,-0.118042,1.051405,36428.689299,2001-01-01 10:07:08.689 +0000
-0.700912,0.673019,-0.431900,1.063377,36428.679503,2001-01-01 10:07:08.680 +0000
-0.537476,0.673874,-0.790100,1.169292,36428.669707,2001-01-01 10:07:08.670 +0000
-0.413208,0.687332,-1.280563,1.510963,36428.659880,2001-01-01 10:07:08.660 +0000
-0.311508,0.680649,-1.675690,1.835281,36428.650084,2001-01-01 10:07:08.650 +0000
-0.226212,0.566971,-1.857132,1.954883,36428.640288,2001-01-01 10:07:08.640 +0000
-0.190308,0.506439,-1.947479,2.021231,36428.630491,2001-01-01 10:07:08.630 +0000
-0.091461,0.452515,-2.053482,2.104738,36428.620695,2001-01-01 10:07:08.621 +0000
0.117767,0.398834,-2.277420,2.315077,36428.610899,2001-01-01 10:07:08.611 +0000
0.353470,0.371002,-2.666397,2.715190,36428.601072,2001-01-01 10:07:08.601 +0000
0.507141,0.303970,-3.008453,3.066004,36428.591276,2001-01-01 10:07:08.591 +0000
0.564941,0.280350,-3.285873,3.345851,36428.581480,2001-01-01 10:07:08.581 +0000
0.555939,0.312744,-3.513489,3.570921,36428.571684,2001-01-01 10:07:08.572 +0000
0.482651,0.365921,-3.732315,3.781141,36428.561888,2001-01-01 10:07:08.562 +0000
0.380936,0.438690,-3.914444,3.957326,36428.552061,2001-01-01 10:07:08.552 +0000
0.260361,0.507263,-3.986008,4.026582,36428.542321,2001-01-01 10:07:08.542 +0000
0.136841,0.576004,-3.965500,4.009451,36428.532525,2001-01-01 10:07:08.533 +0000
0.073807,0.641464,-3.895691,3.948839,36428.522729,2001-01-01 10:07:08.523 +0000
0.065094,0.722488,-3.812012,3.880420,36428.512933,2001-01-01 10:07:08.513 +0000
0.105728,0.806244,-3.746597,3.833823,36428.503137,2001-01-01 10:07:08.503 +0000
0.072327,0.917114,-3.563278,3.680120,36428.493310,2001-01-01 10:07:08.493 +0000
-0.104263,1.110153,-3.250854,3.436767,36428.483514,2001-01-01 10:07:08.484 +0000
-0.331436,1.299744,-2.842117,3.142740,36428.473718,2001-01-01 10:07:08.474 +0000
-0.529968,1.401428,-2.404022,2.832700,36428.463921,2001-01-01 10:07:08.464 +0000
-0.676224,1.475479,-1.921265,2.515070,36428.454125,2001-01-01 10:07:08.454 +0000
-0.791306,1.506973,-1.443375,2.231695,36428.444299,2001-01-01 10:07:08.444 +0000
-0.829880,1.527557,-1.125595,2.071013,36428.434503,2001-01-01 10:07:08.435 +0000
-0.727295,1.492737,-0.862640,1.871195,36428.424706,2001-01-01 10:07:08.425 +0000
-0.524582,1.406464,-0.663254,1.641107,36428.414910,2001-01-01 10:07:08.415 +0000
-0.306839,1.333466,-0.505371,1.458657,36428.405114,2001-01-01 10:07:08.405 +0000
-0.266602,1.306900,-0.107101,1.338109,36428.395287,2001-01-01 10:07:08.395 +0000
-0.458954,1.260529,0.535782,1.444518,36428.385491,2001-01-01 10:07:08.385 +0000
-0.782410,1.124084,1.241058,1.848231,36428.375695,2001-01-01 10:07:08.376 +0000
-0.987152,0.836563,1.646133,2.093815,36428.365899,2001-01-01 10:07:08.366 +0000
-1.009735,0.679489,1.775742,2.152796,36428.356103,2001-01-01 10:07:08.356 +0000
-0.904343,0.552505,1.778488,2.070294,36428.346276,2001-01-01 10:07:08.346 +0000
-0.634766,0.408783,1.768555,1.922971,36428.336480,2001-01-01 10:07:08.336 +0000
-0.295364,0.317856,1.880234,1.929651,36428.326684,2001-01-01 10:07:08.327 +0000
0.002930,0.215088,2.335175,2.345061,36428.316888,2001-01-01 10:07:08.317 +0000
0.104034,0.057541,3.098022,3.100303,36428.307092,2001-01-01 10:07:08.307 +0000
0.024414,-0.087524,3.802582,3.803667,36428.297265,2001-01-01 10:07:08.297 +0000
-0.170059,-0.236115,4.367828,4.377510,36428.287469,2001-01-01 10:07:08.287 +0000
-0.289948,-0.332001,4.614487,4.635492,36428.277673,2001-01-01 10:07:08.278 +0000
-0.271988,-0.391068,4.536362,4.561303,36428.267877,2001-01-01 10:07:08.268 +0000
-0.162491,-0.399353,4.161560,4.183834,36428.258080,2001-01-01 10:07:08.258 +0000
-0.042999,-0.383621,3.632477,3.652931,36428.248254,2001-01-01 10:07:08.248 +0000
0.013046,-0.335144,3.211685,3.229151,36428.238458,2001-01-01 10:07:08.238 +0000
-0.015411,-0.280273,3.140671,3.153189,36428.228661,2001-01-01 10:07:08.229 +0000
-0.136398,-0.252426,3.405243,3.417309,36428.218865,2001-01-01 10:07:08.219 +0000
-0.261917,-0.140518,3.676941,3.688935,36428.209069,2001-01-01 10:07:08.209 +0000
-0.396667,0.128815,3.748199,3.771331,36428.199273,2001-01-01 10:07:08.199 +0000
-0.616165,0.490021,3.400986,3.490914,36428.189446,2001-01-01 10:07:08.189 +0000
-0.882309,0.826431,2.647644,2.910580,36428.179650,2001-01-01 10:07:08.180 +0000
-1.088593,0.979889,1.776978,2.302795,36428.169854,2001-01-01 10:07:08.170 +0000
-1.196457,0.985016,1.094177,1.897100,36428.160058,2001-01-01 10:07:08.160 +0000
-1.154922,0.908417,0.622711,1.595881,36428.150262,2001-01-01 10:07:08.150 +0000
-0.926437,0.859161,0.229385,1.284158,36428.140435,2001-01-01 10:07:08.140 +0000
-0.669220,0.801636,0.106461,1.049671,36428.130639,2001-01-01 10:07:08.131 +0000
-0.582916,0.825562,0.184509,1.027320,36428.120843,2001-01-01 10:07:08.121 +0000
-0.638138,0.915329,0.123596,1.122641,36428.111047,2001-01-01 10:07:08.111 +0000
-0.669083,0.976913,-0.177048,1.197237,36428.101251,2001-01-01 10:07:08.101 +0000
-0.474701,0.975479,-0.685272,1.283160,36428.091454,2001-01-01 10:07:08.091 +0000
